Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,10250952000000,10581929000000,10929108000000,11456450000000,12217196000000,13039197000000,13815583000000,14474228000000,14769862000000,14478067000000,15048971000000,15599732000000,16253970000000,16880683000000,17608138000000,18295019000000,18804913000000,19612102000000,20656516000000,21539982000000,21354105000000,23681171000000,26006893000000,27720709000000,..
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,36329.9702595751,37133.6203973517,37997.7424300242,39490.3023903176,41724.6411982614,44123.3996470026,46301.9876485519,48050.227412195,48570.0594269601,47194.9500893872,48650.6643227232,50065.9789470675,51784.4114692048,53409.7507774372,55304.3155317137,57040.2082136605,58206.6141931844,60322.2614241747,63201.0458483771,65604.6815198734,64411.3731779373,71318.3073592183,78035.1753604212,82769.4122114216,..
United States,USA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.6365853658537,76.8365853658537,76.9365853658537,77.0365853658537,77.4878048780488,77.4878048780488,77.6878048780488,77.9878048780488,78.0390243902439,78.390243902439,78.5414634146342,78.6414634146341,78.7414634146342,78.7414634146342,78.8414634146341,78.690243902439,78.5390243902439,78.5390243902439,78.6390243902439,78.7878048780488,76.9804878048781,76.3292682926829,77.4341463414634,78.3853658536585,..
United States,USA,"Population, total",SP.POP.TOTL,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331526933,332048977,333271411,334914895,..
United States,USA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,21.0126181548683,20.6263138382916,19.9111727323552,19.9687524573828,20.0821970782783,19.9254743047446,19.4054745883831,19.4964902822967,18.709751708786,17.1897216706835,17.8509029193083,17.0352891718287,16.2101854193116,16.5317321906657,16.4707816333408,16.0043536832943,15.5668331327819,15.2550825454735,15.6594755926923,15.1279252916654,13.471131167494,14.3207301614424,14.362559889663,13.9797885071669,..
United States,USA,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,95.0524826049805,..,..,..,..,..,..,..,96.1864929199219,96.9245376586914,97.6525497436523,98.7699279785156,98.9523391723633,99.2755813598633,100.063430786133,100.509819030762,101.192489624023,97.4734878540039,..,..
United States,USA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),SI.POV.DDAY,0.7,0.7,0.7,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1,1.2,1,1,0.2,0.2,1.2,..,..
United States,USA,Individuals using the Internet (% of population),IT.NET.USER.ZS,43.1,49.1,58.8,61.7,64.8,68,68.9,75,74,71,71.7,69.7,74.7,71.4,73,74.6,85.5,87.3,88.5,89.4,90.3,91.3,92.2,93.1,..
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,1211331651866.09,1339400897105.11,1470557654799.95,1660280543846.79,1955346768721.39,2285961149879.85,2752118657184.02,3550327802998.4,4594336785737.67,5101691124285.21,6087191746679.49,7551545703440.75,8532185381680.59,9570471111831.68,10475624944355.2,11061572618578.7,11233313730348.7,12310491333980.9,13894907857880.6,14279968506271.7,14687744162801,17820459508852.2,17881782683707.3,17794783039552,..
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,959.360431369138,1053.11231442789,1148.51425710711,1288.63749134336,1508.66791560781,1753.41419160544,2099.2194300499,2693.95873160283,3468.32706307504,3832.2274569094,4550.47394356715,5614.38602225277,6300.58217951734,7020.3860742288,7636.07434020616,8016.44559489998,8094.39016735149,8817.04560829162,9905.40638304527,10143.8602206165,10408.7195541075,12617.5051041181,12662.5826712038,12614.0617416421,..
